127.0.0.1 - - [30/Apr/2024:09:36:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/g2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/s1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/v1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/o1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/t1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /CRUD1/product-images/d1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:28 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:30 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:33 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:35 +0530] "GET /CRUD1/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:35 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7978
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:37 +0530] "GET /CRUD1/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:37 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7978
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:39 +0530] "GET /CRUD1/add-to-cart?id=1 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:36:44 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 4002
