127.0.0.1 - - [29/Apr/2024:09:25:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 5661
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/ladis-bag.jpg HTTP/1.1" 200 63124
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/female-shoes.jpg HTTP/1.1" 200 11426431
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/men-suits.jpg HTTP/1.1" 200 39753
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/smoking-e-cigarette.jpg HTTP/1.1" 200 90616
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/men-watch.jpg HTTP/1.1" 200 2852412
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /CRUD1/product-images/smoking-e-cigarette-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:25:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:39 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:48 +0530] "POST /CRUD1/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:48 +0530] "GET /CRUD1/addProduct.jsp HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:53 +0530] "GET /CRUD1/updateProduct.jsp HTTP/1.1" 200 8390
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:54 +0530] "GET /CRUD1/deleteProduct.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:55 +0530] "GET /CRUD1/addProduct.jsp HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:26:57 +0530] "GET /CRUD1/updateProduct.jsp HTTP/1.1" 200 8390
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:32:13 +0530] "POST /CRUD1/create-ubdate-delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:32:13 +0530] "GET /CRUD1/updateProduct.jsp HTTP/1.1" 200 8372
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:32:24 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:32:24 +0530] "GET /CRUD1/product-images/g1.webp HTTP/1.1" 200 44829
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:34:01 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:34:01 +0530] "GET /CRUD1/product-images/g1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:34:03 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:34:09 +0530] "POST /CRUD1/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:34:09 +0530] "GET /CRUD1/addProduct.jsp HTTP/1.1" 200 2740
